bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,result,venue
R Ashwin,4,25,0,1,6.25,2015-04-09,Delhi Daredevils,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
R Ashwin,4,22,0,1,5.5,2015-04-11,Sunrisers Hyderabad,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
R Ashwin,1,13,0,0,13.0,2015-04-17,Chennai Super Kings,Chennai Super Kings,0,Wankhede Stadium
R Ashwin,2,21,0,0,10.5,2015-04-19,Chennai Super Kings,Rajasthan Royals,0,"Sardar Patel Stadium, Motera"
R Ashwin,1,17,0,0,17.0,2015-04-22,Chennai Super Kings,Chennai Super Kings,0,M Chinnaswamy Stadium
R Ashwin,4,14,0,2,3.5,2015-04-25,Kings XI Punjab,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
R Ashwin,2,5,0,2,2.5,2015-04-28,Kolkata Knight Riders,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
R Ashwin,4,17,0,2,4.25,2015-05-08,Mumbai Indians,Mumbai Indians,0,"MA Chidambaram Stadium, Chepauk"
R Ashwin,4,24,0,0,6.0,2015-05-12,Chennai Super Kings,Delhi Daredevils,0,Shaheed Veer Narayan Singh International Stadium
R Ashwin,4,14,0,1,3.5,2015-05-16,Chennai Super Kings,Chennai Super Kings,0,"Punjab Cricket Association Stadium, Mohali"
R Ashwin,3,22,0,0,7.333333333333333,2015-05-19,Mumbai Indians,Mumbai Indians,0,Wankhede Stadium
R Ashwin,4,13,0,1,3.25,2015-05-22,Royal Challengers Bangalore,Chennai Super Kings,0,JSCA International Stadium Complex
R Ashwin,2,21,0,0,10.5,2015-05-24,Chennai Super Kings,Mumbai Indians,0,Eden Gardens
RA Jadeja,1,16,0,0,16.0,2012-04-04,Mumbai Indians,Mumbai Indians,0,"MA Chidambaram Stadium, Chepauk"
RA Jadeja,4,16,0,5,4.0,2012-04-07,Chennai Super Kings,Chennai Super Kings,0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
RA Jadeja,2,19,0,0,9.5,2012-04-10,Chennai Super Kings,Delhi Daredevils,0,Feroz Shah Kotla
RA Jadeja,2,18,0,2,9.0,2012-04-12,Royal Challengers Bangalore,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
RA Jadeja,4,21,0,0,5.25,2012-04-19,Pune Warriors,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
RA Jadeja,3,32,0,0,10.666666666666666,2012-04-21,Rajasthan Royals,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
RA Jadeja,1,15,0,0,15.0,2012-04-28,Kings XI Punjab,Kings XI Punjab,0,"MA Chidambaram Stadium, Chepauk"
RA Jadeja,2,13,0,0,6.5,2012-04-30,Kolkata Knight Riders,Kolkata Knight Riders,0,"MA Chidambaram Stadium, Chepauk"
RA Jadeja,3,25,0,0,8.333333333333334,2012-05-04,Deccan Chargers,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
RA Jadeja,2,12,0,2,6.0,2012-05-06,Chennai Super Kings,Mumbai Indians,0,Wankhede Stadium
RA Jadeja,4,21,0,1,5.25,2012-05-10,Chennai Super Kings,Chennai Super Kings,0,Sawai Mansingh Stadium
RA Jadeja,1,11,0,0,11.0,2012-05-12,Delhi Daredevils,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
RA Jadeja,4,39,0,1,9.75,2012-05-14,Chennai Super Kings,Chennai Super Kings,0,Eden Gardens
RA Jadeja,2,15,0,1,7.5,2012-05-23,Mumbai Indians,Chennai Super Kings,0,M Chinnaswamy Stadium
RA Jadeja,2,12,0,0,6.0,2013-04-06,Mumbai Indians,Mumbai Indians,0,"MA Chidambaram Stadium, Chepauk"
RA Jadeja,4,29,0,1,7.25,2013-04-10,Chennai Super Kings,Chennai Super Kings,0,"Punjab Cricket Association Stadium, Mohali"
RA Jadeja,2,20,0,0,10.0,2013-04-13,Royal Challengers Bangalore,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
RA Jadeja,4,27,0,1,6.75,2013-04-15,Pune Warriors,Pune Warriors,0,"MA Chidambaram Stadium, Chepauk"
RA Jadeja,4,21,0,2,5.25,2013-04-18,Chennai Super Kings,Chennai Super Kings,0,Feroz Shah Kotla
RA Jadeja,4,20,0,3,5.0,2013-04-20,Chennai Super Kings,Chennai Super Kings,0,Eden Gardens
RA Jadeja,3,45,0,0,15.0,2013-04-22,Rajasthan Royals,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
RA Jadeja,1,8,0,0,8.0,2013-04-25,Sunrisers Hyderabad,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
RA Jadeja,2,13,0,0,6.5,2013-04-28,Kolkata Knight Riders,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
RA Jadeja,4,26,0,1,6.5,2013-04-30,Chennai Super Kings,Chennai Super Kings,0,Subrata Roy Sahara Stadium
RA Jadeja,4,29,0,3,7.25,2013-05-05,Chennai Super Kings,Mumbai Indians,0,Wankhede Stadium
RA Jadeja,2,14,0,1,7.0,2013-05-08,Chennai Super Kings,Chennai Super Kings,0,"Rajiv Gandhi International Stadium, Uppal"
RA Jadeja,1,9,0,0,9.0,2013-05-12,Chennai Super Kings,Rajasthan Royals,0,Sawai Mansingh Stadium
RA Jadeja,4,31,0,3,7.75,2013-05-21,Mumbai Indians,Chennai Super Kings,0,Feroz Shah Kotla
RA Jadeja,2,19,0,0,9.5,2013-05-26,Mumbai Indians,Mumbai Indians,0,Eden Gardens
RA Jadeja,4,43,0,0,10.75,2014-04-18,Kings XI Punjab,Kings XI Punjab,0,Sheikh Zayed Stadium
RA Jadeja,2,18,0,2,9.0,2014-04-21,Delhi Daredevils,Chennai Super Kings,0,Sheikh Zayed Stadium
RA Jadeja,4,33,0,4,8.25,2014-04-23,Chennai Super Kings,Chennai Super Kings,0,Dubai International Cricket Stadium
RA Jadeja,1,14,0,0,14.0,2014-04-25,Mumbai Indians,Chennai Super Kings,0,Dubai International Cricket Stadium
RA Jadeja,3,23,0,0,7.666666666666667,2014-04-27,Chennai Super Kings,Chennai Super Kings,0,Sharjah Cricket Stadium
RA Jadeja,4,12,0,4,3.0,2014-05-02,Kolkata Knight Riders,Chennai Super Kings,0,JSCA International Stadium Complex
RA Jadeja,4,23,0,1,5.75,2014-05-05,Chennai Super Kings,Chennai Super Kings,0,Feroz Shah Kotla
RA Jadeja,3,37,0,0,12.333333333333334,2014-05-07,Chennai Super Kings,Kings XI Punjab,0,Barabati Stadium
RA Jadeja,4,33,0,0,8.25,2014-05-10,Chennai Super Kings,Chennai Super Kings,0,Wankhede Stadium
RA Jadeja,4,18,0,3,4.5,2014-05-13,Rajasthan Royals,Chennai Super Kings,0,JSCA International Stadium Complex
RA Jadeja,4,31,0,1,7.75,2014-05-18,Royal Challengers Bangalore,Royal Challengers Bangalore,0,JSCA International Stadium Complex
RA Jadeja,3,23,0,1,7.666666666666667,2014-05-20,Chennai Super Kings,Kolkata Knight Riders,0,Eden Gardens
RA Jadeja,4,42,0,1,10.5,2014-05-22,Sunrisers Hyderabad,Sunrisers Hyderabad,0,JSCA International Stadium Complex
RA Jadeja,2,14,0,1,7.0,2014-05-24,Chennai Super Kings,Chennai Super Kings,0,M Chinnaswamy Stadium
RA Jadeja,4,31,0,2,7.75,2014-05-28,Mumbai Indians,Chennai Super Kings,0,Brabourne Stadium
RA Jadeja,4,48,0,0,12.0,2014-05-30,Kings XI Punjab,Kings XI Punjab,0,Wankhede Stadium
RA Jadeja,1,17,0,0,17.0,2015-04-11,Sunrisers Hyderabad,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
