bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,result,venue
M Muralitharan,3,28,0,0,9.333333333333334,2011-04-24,Kochi Tuskers Kerala,Rajasthan Royals,0,Sawai Mansingh Stadium
MM Patel,3,15,0,0,5.0,2011-04-15,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Wankhede Stadium
MS Gony,3,19,0,1,6.333333333333333,2011-04-27,Deccan Chargers,Deccan Chargers,0,Nehru Stadium
ND Doshi,1,15,0,1,15.0,2011-05-15,Rajasthan Royals,Kochi Tuskers Kerala,0,Holkar Cricket Stadium
NLTC Perera,4,38,0,0,9.5,2011-04-15,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Wankhede Stadium
NLTC Perera,2,11,0,1,5.5,2011-04-24,Kochi Tuskers Kerala,Rajasthan Royals,0,Sawai Mansingh Stadium
NLTC Perera,4,30,0,2,7.5,2011-04-27,Deccan Chargers,Deccan Chargers,0,Nehru Stadium
P Parameswaran,4,29,0,2,7.25,2011-05-02,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Feroz Shah Kotla
P Parameswaran,4,21,0,0,5.25,2011-05-05,Kolkata Knight Riders,Kochi Tuskers Kerala,0,Nehru Stadium
P Parameswaran,2,44,0,0,22.0,2011-05-08,Kochi Tuskers Kerala,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
P Parameswaran,2,23,0,0,11.5,2011-05-13,Kings XI Punjab,Kings XI Punjab,0,Holkar Cricket Stadium
P Parameswaran,3,20,0,2,6.666666666666667,2011-05-15,Rajasthan Royals,Kochi Tuskers Kerala,0,Holkar Cricket Stadium
P Prasanth,1,18,0,0,18.0,2011-05-15,Rajasthan Royals,Kochi Tuskers Kerala,0,Holkar Cricket Stadium
PP Chawla,4,30,0,1,7.5,2011-05-13,Kings XI Punjab,Kings XI Punjab,0,Holkar Cricket Stadium
R Ashwin,4,31,0,2,7.75,2011-04-18,Chennai Super Kings,Kochi Tuskers Kerala,0,Nehru Stadium
R Ashwin,4,16,0,1,4.0,2011-05-18,Kochi Tuskers Kerala,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
R Bhatia,3,22,0,1,7.333333333333333,2011-05-05,Kolkata Knight Riders,Kochi Tuskers Kerala,0,Nehru Stadium
R Sathish,1,11,0,0,11.0,2011-04-15,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Wankhede Stadium
R Sharma,4,18,0,1,4.5,2011-04-13,Kochi Tuskers Kerala,Pune Warriors,0,Dr DY Patil Sports Academy
R Vinay Kumar,3,26,0,1,8.666666666666666,2011-04-09,Royal Challengers Bangalore,Royal Challengers Bangalore,0,Nehru Stadium
R Vinay Kumar,3,15,0,1,5.0,2011-04-13,Kochi Tuskers Kerala,Pune Warriors,0,Dr DY Patil Sports Academy
R Vinay Kumar,4,48,0,1,12.0,2011-04-15,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Wankhede Stadium
R Vinay Kumar,4,21,0,3,5.25,2011-04-20,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Eden Gardens
R Vinay Kumar,3,27,0,0,9.0,2011-04-24,Kochi Tuskers Kerala,Rajasthan Royals,0,Sawai Mansingh Stadium
R Vinay Kumar,4,25,0,3,6.25,2011-04-27,Deccan Chargers,Deccan Chargers,0,Nehru Stadium
R Vinay Kumar,4,41,0,2,10.25,2011-04-30,Delhi Daredevils,Delhi Daredevils,0,Nehru Stadium
R Vinay Kumar,4,25,0,2,6.25,2011-05-02,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Feroz Shah Kotla
R Vinay Kumar,4,28,0,3,7.0,2011-05-05,Kolkata Knight Riders,Kochi Tuskers Kerala,0,Nehru Stadium
R Vinay Kumar,3,18,0,1,6.0,2011-05-08,Kochi Tuskers Kerala,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
R Vinay Kumar,3,28,0,0,9.333333333333334,2011-05-13,Kings XI Punjab,Kings XI Punjab,0,Holkar Cricket Stadium
RA Jadeja,4,28,0,1,7.0,2011-04-09,Royal Challengers Bangalore,Royal Challengers Bangalore,0,Nehru Stadium
RA Jadeja,4,28,0,2,7.0,2011-04-13,Kochi Tuskers Kerala,Pune Warriors,0,Dr DY Patil Sports Academy
RA Jadeja,4,29,0,0,7.25,2011-04-15,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Wankhede Stadium
RA Jadeja,4,25,0,2,6.25,2011-04-20,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Eden Gardens
RA Jadeja,3,24,0,1,8.0,2011-04-24,Kochi Tuskers Kerala,Rajasthan Royals,0,Sawai Mansingh Stadium
RA Jadeja,3,25,0,0,8.333333333333334,2011-04-27,Deccan Chargers,Deccan Chargers,0,Nehru Stadium
RA Jadeja,4,27,0,1,6.75,2011-04-30,Delhi Daredevils,Delhi Daredevils,0,Nehru Stadium
RA Jadeja,2,16,0,0,8.0,2011-05-02,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Feroz Shah Kotla
RA Jadeja,1,7,0,0,7.0,2011-05-05,Kolkata Knight Riders,Kochi Tuskers Kerala,0,Nehru Stadium
RA Jadeja,4,24,0,0,6.0,2011-05-08,Kochi Tuskers Kerala,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
RA Jadeja,3,27,0,0,9.0,2011-05-13,Kings XI Punjab,Kings XI Punjab,0,Holkar Cricket Stadium
RA Jadeja,1,5,0,0,5.0,2011-05-15,Rajasthan Royals,Kochi Tuskers Kerala,0,Holkar Cricket Stadium
RE van der Merwe,3,20,0,3,6.666666666666667,2011-04-30,Delhi Daredevils,Delhi Daredevils,0,Nehru Stadium
RE van der Merwe,3,15,0,2,5.0,2011-05-02,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Feroz Shah Kotla
RJ Harris,4,42,0,2,10.5,2011-05-13,Kings XI Punjab,Kings XI Punjab,0,Holkar Cricket Stadium
RP Singh,3,29,0,0,9.666666666666666,2011-04-09,Royal Challengers Bangalore,Royal Challengers Bangalore,0,Nehru Stadium
RP Singh,3,30,0,0,10.0,2011-04-13,Kochi Tuskers Kerala,Pune Warriors,0,Dr DY Patil Sports Academy
RP Singh,4,15,0,0,3.75,2011-04-15,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Wankhede Stadium
RP Singh,4,25,0,2,6.25,2011-04-20,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Eden Gardens
RP Singh,2,11,0,0,5.5,2011-04-24,Kochi Tuskers Kerala,Rajasthan Royals,0,Sawai Mansingh Stadium
RP Singh,4,21,0,2,5.25,2011-04-27,Deccan Chargers,Deccan Chargers,0,Nehru Stadium
RP Singh,4,29,0,1,7.25,2011-04-30,Delhi Daredevils,Delhi Daredevils,0,Nehru Stadium
RP Singh,4,28,0,1,7.0,2011-05-02,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Feroz Shah Kotla
RP Singh,4,44,0,2,11.0,2011-05-05,Kolkata Knight Riders,Kochi Tuskers Kerala,0,Nehru Stadium
RP Singh,2,13,0,0,6.5,2011-05-08,Kochi Tuskers Kerala,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
RP Singh,4,25,0,4,6.25,2011-05-13,Kings XI Punjab,Kings XI Punjab,0,Holkar Cricket Stadium
RP Singh,4,17,0,1,4.25,2011-05-15,Rajasthan Royals,Kochi Tuskers Kerala,0,Holkar Cricket Stadium
RR Powar,1,12,0,0,12.0,2011-04-15,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Wankhede Stadium
RR Powar,4,29,0,1,7.25,2011-04-20,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Eden Gardens
RR Powar,2,20,0,1,10.0,2011-04-30,Delhi Daredevils,Delhi Daredevils,0,Nehru Stadium
RR Powar,2,27,0,0,13.5,2011-05-08,Kochi Tuskers Kerala,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
RV Gomez,1,20,0,1,20.0,2011-04-09,Royal Challengers Bangalore,Royal Challengers Bangalore,0,Nehru Stadium
RV Gomez,3,29,0,1,9.666666666666666,2011-04-15,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Wankhede Stadium
RV Gomez,1,9,0,0,9.0,2011-04-24,Kochi Tuskers Kerala,Rajasthan Royals,0,Sawai Mansingh Stadium
RV Gomez,1,4,0,0,4.0,2011-04-27,Deccan Chargers,Deccan Chargers,0,Nehru Stadium
RV Gomez,2,16,0,0,8.0,2011-05-02,Kochi Tuskers Kerala,Kochi Tuskers Kerala,0,Feroz Shah Kotla
RV Gomez,4,14,1,2,3.5,2011-05-05,Kolkata Knight Riders,Kochi Tuskers Kerala,0,Nehru Stadium
