bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,result,venue
Anureet Singh,3,24,0,0,8.0,2015-05-01,Kings XI Punjab,Delhi Daredevils,0,Feroz Shah Kotla
Anureet Singh,4,30,0,1,7.5,2015-05-03,Mumbai Indians,Mumbai Indians,0,"Punjab Cricket Association Stadium, Mohali"
Anureet Singh,4,25,0,0,6.25,2015-05-06,Kings XI Punjab,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
Anureet Singh,3,56,0,3,18.666666666666668,2015-05-09,Kings XI Punjab,Kolkata Knight Riders,0,Eden Gardens
Anureet Singh,4,37,0,0,9.25,2015-05-11,Kings XI Punjab,Sunrisers Hyderabad,0,"Rajiv Gandhi International Stadium, Uppal"
Anureet Singh,2,21,0,2,10.5,2015-05-13,Royal Challengers Bangalore,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
Anureet Singh,3,15,0,0,5.0,2016-05-09,Royal Challengers Bangalore,Royal Challengers Bangalore,0,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Anureet Singh,3,28,0,1,9.333333333333334,2016-05-15,Sunrisers Hyderabad,Sunrisers Hyderabad,0,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Anureet Singh,2,26,0,0,13.0,2017-04-28,Sunrisers Hyderabad,Sunrisers Hyderabad,0,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Azhar Mahmood,3,30,0,0,10.0,2012-04-20,Royal Challengers Bangalore,Royal Challengers Bangalore,0,"Punjab Cricket Association Stadium, Mohali"
Azhar Mahmood,4,39,0,0,9.75,2012-04-22,Kings XI Punjab,Kings XI Punjab,0,Wankhede Stadium
Azhar Mahmood,3,23,0,2,7.666666666666667,2012-04-25,Mumbai Indians,Mumbai Indians,0,"Punjab Cricket Association Stadium, Mohali"
Azhar Mahmood,4,20,0,3,5.0,2012-05-02,Kings XI Punjab,Kings XI Punjab,0,M Chinnaswamy Stadium
Azhar Mahmood,4,37,0,0,9.25,2012-05-05,Rajasthan Royals,Rajasthan Royals,0,"Punjab Cricket Association Stadium, Mohali"
Azhar Mahmood,4,31,0,0,7.75,2012-05-08,Kings XI Punjab,Kings XI Punjab,0,"Rajiv Gandhi International Stadium, Uppal"
Azhar Mahmood,4,39,0,2,9.75,2012-05-13,Deccan Chargers,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
Azhar Mahmood,4,34,0,0,8.5,2012-05-15,Kings XI Punjab,Delhi Daredevils,0,Feroz Shah Kotla
Azhar Mahmood,3,23,0,2,7.666666666666667,2012-05-19,Delhi Daredevils,Delhi Daredevils,0,Himachal Pradesh Cricket Association Stadium
Azhar Mahmood,4,19,0,3,4.75,2013-04-07,Kings XI Punjab,Kings XI Punjab,0,Subrata Roy Sahara Stadium
Azhar Mahmood,4,23,0,0,5.75,2013-04-14,Kings XI Punjab,Rajasthan Royals,0,Sawai Mansingh Stadium
Azhar Mahmood,4,21,0,3,5.25,2013-04-16,Kolkata Knight Riders,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
Azhar Mahmood,4,36,0,1,9.0,2013-04-19,Kings XI Punjab,Sunrisers Hyderabad,0,"Rajiv Gandhi International Stadium, Uppal"
Azhar Mahmood,4,42,0,2,10.5,2013-04-21,Pune Warriors,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
Azhar Mahmood,4,35,0,3,8.75,2013-04-26,Kings XI Punjab,Kolkata Knight Riders,0,Eden Gardens
Azhar Mahmood,4,32,0,0,8.0,2013-04-29,Kings XI Punjab,Mumbai Indians,0,Wankhede Stadium
Azhar Mahmood,4,24,0,2,6.0,2013-05-14,Kings XI Punjab,Kings XI Punjab,0,M Chinnaswamy Stadium
Azhar Mahmood,4,40,0,0,10.0,2013-05-16,Delhi Daredevils,Kings XI Punjab,0,Himachal Pradesh Cricket Association Stadium
Azhar Mahmood,4,24,0,2,6.0,2013-05-18,Mumbai Indians,Kings XI Punjab,0,Himachal Pradesh Cricket Association Stadium
B Kumar,3,14,0,2,4.666666666666667,2011-05-08,Pune Warriors,Pune Warriors,0,"Punjab Cricket Association Stadium, Mohali"
B Kumar,2,16,0,0,8.0,2013-04-07,Kings XI Punjab,Kings XI Punjab,0,Subrata Roy Sahara Stadium
B Kumar,4,31,0,1,7.75,2013-04-21,Pune Warriors,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
B Kumar,4,19,0,3,4.75,2014-04-22,Sunrisers Hyderabad,Kings XI Punjab,0,Sharjah Cricket Stadium
B Kumar,3,38,0,2,12.666666666666666,2014-05-14,Kings XI Punjab,Kings XI Punjab,0,"Rajiv Gandhi International Stadium, Uppal"
B Kumar,4,23,0,2,5.75,2015-04-27,Sunrisers Hyderabad,Sunrisers Hyderabad,0,"Punjab Cricket Association Stadium, Mohali"
B Kumar,4,34,0,1,8.5,2015-05-11,Kings XI Punjab,Sunrisers Hyderabad,0,"Rajiv Gandhi International Stadium, Uppal"
B Kumar,4,37,0,1,9.25,2016-04-23,Kings XI Punjab,Sunrisers Hyderabad,0,"Rajiv Gandhi International Stadium, Uppal"
B Kumar,4,32,0,2,8.0,2016-05-15,Sunrisers Hyderabad,Sunrisers Hyderabad,0,"Punjab Cricket Association IS Bindra Stadium, Mohali"
B Kumar,4,19,0,5,4.75,2017-04-17,Kings XI Punjab,Sunrisers Hyderabad,0,"Rajiv Gandhi International Stadium, Uppal"
B Kumar,4,27,0,2,6.75,2017-04-28,Sunrisers Hyderabad,Sunrisers Hyderabad,0,"Punjab Cricket Association IS Bindra Stadium, Mohali"
B Lee,4,35,0,1,8.75,2008-04-21,Kings XI Punjab,Rajasthan Royals,0,Sawai Mansingh Stadium
B Lee,4,9,0,2,2.25,2008-04-25,Mumbai Indians,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
B Lee,4,33,0,1,8.25,2008-04-27,Delhi Daredevils,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
B Lee,4,24,0,1,6.0,2009-05-09,Kings XI Punjab,Kings XI Punjab,0,De Beers Diamond Oval
B Lee,5,25,0,1,5.0,2009-05-12,Mumbai Indians,Mumbai Indians,0,SuperSport Park
B Lee,4,15,1,3,3.75,2009-05-15,Kings XI Punjab,Kings XI Punjab,0,OUTsurance Oval
B Lee,4,31,0,1,7.75,2009-05-17,Kings XI Punjab,Kings XI Punjab,0,New Wanderers Stadium
B Lee,4,39,0,0,9.75,2010-03-27,Kolkata Knight Riders,Kolkata Knight Riders,0,"Punjab Cricket Association Stadium, Mohali"
B Lee,2,24,0,0,12.0,2010-03-30,Kings XI Punjab,Mumbai Indians,0,Brabourne Stadium
B Lee,4,48,0,0,12.0,2010-04-02,Royal Challengers Bangalore,Royal Challengers Bangalore,0,"Punjab Cricket Association Stadium, Mohali"
B Lee,4,38,0,0,9.5,2010-04-09,Mumbai Indians,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
B Lee,4,27,0,1,6.75,2011-04-30,Kings XI Punjab,Kolkata Knight Riders,0,Eden Gardens
B Lee,4,26,0,2,6.5,2012-04-18,Kolkata Knight Riders,Kolkata Knight Riders,0,"Punjab Cricket Association Stadium, Mohali"
B Stanlake,4,41,0,0,10.25,2017-04-10,Royal Challengers Bangalore,Kings XI Punjab,0,Holkar Cricket Stadium
BA Bhatt,3,20,0,2,6.666666666666667,2011-04-21,Rajasthan Royals,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
BA Bhatt,4,22,0,2,5.5,2011-04-30,Kings XI Punjab,Kolkata Knight Riders,0,Eden Gardens
BA Bhatt,4,26,0,0,6.5,2011-05-02,Kings XI Punjab,Mumbai Indians,0,Wankhede Stadium
BA Bhatt,4,35,0,1,8.75,2011-05-08,Pune Warriors,Pune Warriors,0,"Punjab Cricket Association Stadium, Mohali"
BA Bhatt,3,22,0,4,7.333333333333333,2011-05-10,Mumbai Indians,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
BA Bhatt,4,36,0,0,9.0,2011-05-13,Kings XI Punjab,Kings XI Punjab,0,Holkar Cricket Stadium
BA Bhatt,3,33,0,0,11.0,2011-05-21,Deccan Chargers,Deccan Chargers,0,Himachal Pradesh Cricket Association Stadium
BA Bhatt,4,24,0,2,6.0,2012-04-15,Kings XI Punjab,Kings XI Punjab,0,Eden Gardens
BA Bhatt,3,32,0,0,10.666666666666666,2012-04-18,Kolkata Knight Riders,Kolkata Knight Riders,0,"Punjab Cricket Association Stadium, Mohali"
BA Bhatt,3,33,0,0,11.0,2012-04-22,Kings XI Punjab,Kings XI Punjab,0,Wankhede Stadium
BA Bhatt,4,34,0,0,8.5,2012-04-25,Mumbai Indians,Mumbai Indians,0,"Punjab Cricket Association Stadium, Mohali"
BA Bhatt,2,11,0,1,5.5,2013-04-23,Kings XI Punjab,Kings XI Punjab,0,Feroz Shah Kotla
BA Bhatt,3,21,0,0,7.0,2013-04-26,Kings XI Punjab,Kolkata Knight Riders,0,Eden Gardens
BA Stokes,4,32,0,0,8.0,2017-04-08,Rising Pune Supergiant,Kings XI Punjab,0,Holkar Cricket Stadium
BA Stokes,3,10,0,1,3.3333333333333335,2017-05-14,Kings XI Punjab,Rising Pune Supergiant,0,Maharashtra Cricket Association Stadium
BAW Mendis,4,24,0,1,6.0,2008-05-25,Kings XI Punjab,Kolkata Knight Riders,0,Eden Gardens
BAW Mendis,4,38,0,1,9.5,2013-04-21,Pune Warriors,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
BB Sran,4,33,0,0,8.25,2016-04-23,Kings XI Punjab,Sunrisers Hyderabad,0,"Rajiv Gandhi International Stadium, Uppal"
BB Sran,2,29,0,0,14.5,2017-04-17,Kings XI Punjab,Sunrisers Hyderabad,0,"Rajiv Gandhi International Stadium, Uppal"
BCJ Cutting,1,11,0,0,11.0,2016-05-15,Sunrisers Hyderabad,Sunrisers Hyderabad,0,"Punjab Cricket Association IS Bindra Stadium, Mohali"
BE Hendricks,4,36,0,3,9.0,2014-05-19,Kings XI Punjab,Kings XI Punjab,0,Feroz Shah Kotla
BE Hendricks,4,33,0,1,8.25,2014-05-21,Mumbai Indians,Mumbai Indians,0,"Punjab Cricket Association Stadium, Mohali"
BE Hendricks,4,57,0,0,14.25,2014-05-23,Rajasthan Royals,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
BE Hendricks,4,35,0,2,8.75,2015-05-09,Kings XI Punjab,Kolkata Knight Riders,0,Eden Gardens
BE Hendricks,4,40,0,3,10.0,2015-05-11,Kings XI Punjab,Sunrisers Hyderabad,0,"Rajiv Gandhi International Stadium, Uppal"
BE Hendricks,2,9,0,1,4.5,2015-05-13,Royal Challengers Bangalore,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
BJ Hodge,2,13,0,1,6.5,2009-05-03,Kolkata Knight Riders,Kings XI Punjab,0,St George's Park
BJ Hodge,2,26,0,0,13.0,2011-05-13,Kings XI Punjab,Kings XI Punjab,0,Holkar Cricket Stadium
BJ Hodge,1,8,0,0,8.0,2012-04-06,Kings XI Punjab,Rajasthan Royals,0,Sawai Mansingh Stadium
BW Hilfenhaus,4,20,0,1,5.0,2012-05-17,Chennai Super Kings,Kings XI Punjab,0,Himachal Pradesh Cricket Association Stadium
BW Hilfenhaus,4,36,0,1,9.0,2014-05-07,Chennai Super Kings,Kings XI Punjab,0,Barabati Stadium
Basil Thampi,4,44,0,1,11.0,2017-04-23,Kings XI Punjab,Kings XI Punjab,0,Saurashtra Cricket Association Stadium
Basil Thampi,4,48,0,1,12.0,2017-05-07,Gujarat Lions,Gujarat Lions,0,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Bipul Sharma,3,37,0,1,12.333333333333334,2010-03-16,Kings XI Punjab,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
Bipul Sharma,2,19,0,1,9.5,2010-03-19,Kings XI Punjab,Deccan Chargers,0,Barabati Stadium
Bipul Sharma,4,26,0,2,6.5,2010-04-02,Royal Challengers Bangalore,Royal Challengers Bangalore,0,"Punjab Cricket Association Stadium, Mohali"
Bipul Sharma,1,12,0,0,12.0,2010-04-07,Kings XI Punjab,Rajasthan Royals,0,Sawai Mansingh Stadium
Bipul Sharma,2,9,0,0,4.5,2011-04-30,Kings XI Punjab,Kolkata Knight Riders,0,Eden Gardens
Bipul Sharma,4,22,0,1,5.5,2011-05-02,Kings XI Punjab,Mumbai Indians,0,Wankhede Stadium
Bipul Sharma,2,15,0,2,7.5,2011-05-10,Mumbai Indians,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
Bipul Sharma,4,32,0,2,8.0,2011-05-13,Kings XI Punjab,Kings XI Punjab,0,Holkar Cricket Stadium
Bipul Sharma,4,28,0,0,7.0,2012-04-06,Kings XI Punjab,Rajasthan Royals,0,Sawai Mansingh Stadium
Bipul Sharma,2,40,0,0,20.0,2012-04-08,Kings XI Punjab,Pune Warriors,0,Subrata Roy Sahara Stadium
Bipul Sharma,4,21,0,1,5.25,2013-05-09,Rajasthan Royals,Rajasthan Royals,0,"Punjab Cricket Association Stadium, Mohali"
Bipul Sharma,2,13,0,2,6.5,2015-05-11,Kings XI Punjab,Sunrisers Hyderabad,0,"Rajiv Gandhi International Stadium, Uppal"
C de Grandhomme,2,15,0,1,7.5,2017-04-13,Kings XI Punjab,Kolkata Knight Riders,0,Eden Gardens
C de Grandhomme,4,37,0,0,9.25,2017-05-09,Kolkata Knight Riders,Kings XI Punjab,0,"Punjab Cricket Association IS Bindra Stadium, Mohali"
CH Gayle,1,14,0,0,14.0,2009-04-21,Kolkata Knight Riders,Kolkata Knight Riders,0,Kingsmead
CH Gayle,3,20,0,0,6.666666666666667,2009-05-03,Kolkata Knight Riders,Kings XI Punjab,0,St George's Park
CH Gayle,3,23,0,1,7.666666666666667,2010-03-27,Kolkata Knight Riders,Kolkata Knight Riders,0,"Punjab Cricket Association Stadium, Mohali"
CH Gayle,1,16,0,0,16.0,2010-04-04,Kings XI Punjab,Kings XI Punjab,0,Eden Gardens
CH Gayle,4,21,0,3,5.25,2011-05-06,Kings XI Punjab,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
CH Gayle,4,35,0,0,8.75,2011-05-17,Royal Challengers Bangalore,Kings XI Punjab,0,Himachal Pradesh Cricket Association Stadium
CH Gayle,1,22,0,0,22.0,2013-05-06,Royal Challengers Bangalore,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
CH Gayle,3,25,0,0,8.333333333333334,2016-05-18,Kings XI Punjab,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
CH Morris,4,27,0,2,6.75,2013-04-10,Chennai Super Kings,Chennai Super Kings,0,"Punjab Cricket Association Stadium, Mohali"
CH Morris,3,31,0,0,10.333333333333334,2013-05-02,Kings XI Punjab,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
CH Morris,4,21,0,0,5.25,2015-04-10,Rajasthan Royals,Rajasthan Royals,0,Maharashtra Cricket Association Stadium
CH Morris,4,34,0,1,8.5,2015-04-21,Kings XI Punjab,0,tie,"Sardar Patel Stadium, Motera"
CH Morris,4,19,0,1,4.75,2016-04-15,Kings XI Punjab,Delhi Daredevils,0,Feroz Shah Kotla
CH Morris,4,30,0,2,7.5,2016-05-07,Delhi Daredevils,Kings XI Punjab,0,"Punjab Cricket Association IS Bindra Stadium, Mohali"
CH Morris,4,23,0,3,5.75,2017-04-15,Kings XI Punjab,Delhi Daredevils,0,Feroz Shah Kotla
CH Morris,2,13,0,0,6.5,2017-04-30,Delhi Daredevils,Kings XI Punjab,0,"Punjab Cricket Association IS Bindra Stadium, Mohali"
CJ Anderson,2,17,0,1,8.5,2014-05-03,Kings XI Punjab,Mumbai Indians,0,Wankhede Stadium
CJ Anderson,3,23,0,1,7.666666666666667,2017-04-15,Kings XI Punjab,Delhi Daredevils,0,Feroz Shah Kotla
CJ Jordan,4,52,0,0,13.0,2016-05-09,Royal Challengers Bangalore,Royal Challengers Bangalore,0,"Punjab Cricket Association IS Bindra Stadium, Mohali"
